Sal18, Hanoma
Sal45, Hscapr
Hscapr, Ospset
Hangli, Sal31
Oretic, Bkopel
Bdisco, Pnemat
Llappo, Hslana
Sal4, Egemmf
Sal50, Snigri
Agalli, Sal8
Sal27, Osamol
Pdolic, Eacicu
Bracsp, Eweiff
Sal6, Oadaph
Sal46, Omyrti
Eweiff, Ocolla
Oglabr, Osamol
Sal11, Oproxi
Eangus, Apante
Hplicg, Sal17
Atroch, Etaige
Sal36, Tspfiv
Hscapr, Omyrti
Ospset, Esmyrt
Oarcti, Sal27
Ospset, Lalpiu
Elappo, Olappl
Elappo, Osamol
Hslana, Sal42
Sal49, Sal19
Ecalca, Opprox
Hsglab, Sal32
Aacumi, Esalic
Llugen, Oproxi
Sal17, Sal14
Sal16, Sal14
Hpolit, Sal10
Omacul, Sal7
Elappo, Sal14
Esmyrt, Ospset
Olappo, Sal14
Olappo, Sal27
Oproxi, Llugen
Hscapr, Lalpiu
Ealbit, Eurozo
Sal13, Eweiff
Tspfiv, Aalvea
Psauli, Themip
Omyrti, Esmyrt
Lalpiu, Ospset
Tetras, Bracsp
Salpin, Lalpio
Geliss, Agalli
Etaige, Atroch
Sal23, Oretic
Esmyrt, Emyrti
Sal35, Eweiff
Torymu, Tetras
Ctenoc, Snigri
Sal25, Heryth
Sborea, Efront
Ppumil, Sal39
Rbrach, Snigri
Ehasta, Sal5
Hslana, Llappo
Osamol, Elappo
Eridol, Sal35
Sal47, Ospset
Omyrti, Sal45
Esmyrt, Omyrti
Onival, Olappl
Osamol, Oglabr
Sal30, Hscapr
Hscapr, Sal46
Sal27, Onival
Sal3, Ovaria
Hplicd, Edaphn
Oretic, Sal23
Olappl, Olappo
Sal24, Oretus
Sal9, Hpruss
Sal29, Onorve
Elappo, Elappc
Oretus, Sal24
Lalpio, Ppecti
Mymari, Obrevi
Tspone, Salpin
Olappl, Onival
Lflexi, Osamol
Egemmh, Sal7
Themip, Psauli
Hscapr, Sal45
Hischn, Sal3
Hleuco, Sal18
Svesic, Chalci
Sal22, Obrevi
Aalvea, Ialter
Bpulch, Axanth
Ppecti, Lalpio
Tspthr, Tsptwo
Omyrti, Sal46
Eanali, Polybl
Pdolic, Svesic
Snigri, Efront
Pterom, Salcal
Ovesic, Ovimin
Olappl, Elappo
Sal1, Okriec
Halien, Heryth
Csalic, Tspfiv
Torymu, Bracsp
Ospset, Hscapr
Olappo, Elappo
Hanoma, Sal18
Sal46, Sal45
Bkopel, Oretic
Sal25, Halien
Oglabr, Lflexi
Sal16, Hnudip
Psoemi, Ohelve
Pnemat, Llugen
Sal8, Omacul
Sal27, Olappl
Ovimin, Ovesic
Osamol, Olappl
Sal32, Hsglab
Eweiff, Sal13
Egemmf, Sal4
Hplicl, Hacuti
Gornat, Torymu
Sal45, Sal47
Dwestw, Sal19
Onival, Sal27
Torymu, Aprost
Ehasta, Ohasta
Efront, Ctenoc
Hsglau, Hplicl
Lalpiu, Omyrti
Sal27, Oarcti
Esmyrs, Ephyli
Salcal, Psoemi
Sal46, Hscapr
Oobscu, Ofoeti
Ilappo, Onival
Aalvea, Pclavi
Svesic, Eacicu
