Sal1, Oelaea, Site021, 1.0
Ichnin, Hnudip, Site071, 1.0
Hruber, Omonti, Site100, 1.0
Svesic, Olappl, Site085, 1.0
Bdisco, Ovaria, Site140, 1.0
Sal18, Hanoma, Site308, 1.0
Ccruxx, Oproxi, Site007, 1.0
Sal17, Eboreo, Site043, 1.0
Sal17, Eboreo, Site053, 1.0
Sal2, Obridg, Site219, 1.0
Eacicu, Ogalla, Site019, 1.0
Sal10, Oviril, Site290, 1.0
Celong, Hischn, Site020, 1.0
Adelog, Hcarin, Site005, 1.0
Eacicu, Ovesic, Site060, 1.0
Sal7, Hspirh, Site107, 1.0
Sal25, Emucro, Site141, 1.0
Chalci, Ovaria, Site027, 1.0
Chalci, Elappo, Site071, 1.0
Svesic, Olappo, Site074, 1.0
Ccruxx, Ovimin, Site189, 1.0
Chalci, Emucro, Site030, 1.0
Sal18, Ospset, Site202, 1.0
Eacicu, Ovaria, Site140, 1.0
Bbrevi, Oproxi, Site241, 1.0
Pdolic, Oretic, Site046, 1.0
Chalci, Elappc, Site016, 1.0
Pdolic, Eelaea, Site093, 1.0
Celong, Hnudip, Site144, 1.0
Ccruxx, Otrian, Site258, 1.0
Chalci, Hleuca, Site268, 1.0
Hruber, Ovaria, Site020, 1.0
Sal17, Hplicg, Site048, 1.0
Chalci, Ovaria, Site055, 1.0
Chalci, Oglabr, Site077, 1.0
Sal2, Obridg, Site122, 1.0
Pdolic, Eappen, Site171, 1.0
Pdolic, Oadaph, Site130, 1.0
Sal7, Omacul, Site028, 1.0
Llugen, Obridg, Site034, 1.0
Sal9, Hpruss, Site334, 1.0
Chalci, Ovesic, Site001, 1.0
Sal1, Okriec, Site022, 1.0
Chalci, Ovimin, Site038, 1.0
Sal17, Onival, Site071, 1.0
Pdolic, Obridg, Site153, 1.0
Ichnin, Onival, Site090, 1.0
Svesic, Onival, Site024, 1.0
Cvitta, Onigri, Site002, 1.0
Sal3, Onigri, Site055, 1.0
Svesic, Oarcti, Site073, 1.0
Sal14, Osamol, Site015, 1.0
Sal5, Htuber, Site144, 1.0
Sal27, Elanat, Site071, 1.0
Chalci, Ovimin, Site103, 1.0
Etorym, Ovaria, Site035, 1.0
Bracin, Oglauc, Site046, 1.0
Aacumi, Eelaea, Site112, 1.0
Ccruxx, Okriec, Site001, 1.0
Sal31, Hangli, Site186, 1.0
Eacicu, Eboreo, Site279, 1.0
Celong, Odolic, Site055, 1.0
Chalci, Oaacut, Site250, 1.0
Sal3, Ovaria, Site277, 1.0
Sal31, Hangli, Site006, 1.0
Svesic, Obridg, Site154, 1.0
Pdolic, Onival, Site043, 1.0
Svesic, Ocolla, Site131, 1.0
Eacicu, Ovesic, Site109, 1.0
Sal2, Obridg, Site034, 1.0
Ichnin, Ohasta, Site071, 1.0
Sal18, Hleuco, Site088, 1.0
Sal18, Hleuco, Site337, 1.0
Sal3, Ovaria, Site077, 1.0
Sal31, Hangli, Site117, 1.0
Broman, Ovaria, Site002, 1.0
Svesic, Oviril, Site034, 1.0
Hruber, Obridg, Site225, 1.0
Spygid, Ohasta, Site027, 1.0
Acubic, Olappo, Site085, 1.0
Bepitr, Oobscu, Site002, 1.0
Claevi, Olappl, Site071, 1.0
Hruber, Ovaria, Site081, 1.0
Ichnin, Ohasta, Site027, 1.0
Bkopel, Obrevi, Site194, 1.0
Pdolic, Ovaria, Site002, 1.0
Broman, Obella, Site059, 1.0
Epygma, Onival, Site048, 1.0
Ichnin, Eelaea, Site021, 1.0
Svesic, Ocolla, Site009, 1.0
Sal18, Hleuco, Site308, 1.0
Croman, Halien, Site282, 1.0
Broman, Osamol, Site052, 1.0
Apusil, Hangli, Site190, 1.0
Chalci, Eelaea, Site001, 1.0
Epygma, Olappo, Site050, 1.0
Sal18, Ogalla, Site234, 1.0
Broman, Ofoeti, Site193, 1.0
Hruber, Oelaea, Site022, 1.0
Sal14, Osamol, Site053, 1.0
Bbrevi, Okriec, Site188, 1.0
Anigro, Onigri, Site228, 1.0
Saotis, Oproxi, Site061, 1.0
Etorym, Ohasta, Site107, 1.0
Pdolic, Eweiff, Site131, 1.0
Sal14, Hplicl, Site356, 1.0
Broman, Oobscu, Site120, 1.0
Sal18, Ogalla, Site037, 1.0
Hruber, Ofoeti, Site066, 1.0
Sal9, Hpruss, Site270, 1.0
Sal18, Obridg, Site148, 1.0
Celong, Hleuca, Site338, 1.0
Celong, Hpolit, Site041, 1.0
Atroch, Hnudip, Site071, 1.0
Mesole, Oobscu, Site192, 1.0
Pdolic, Egemmh, Site005, 1.0
Etorym, Ovimin, Site041, 1.0
Ccruxx, Oarcti, Site053, 1.0
Bpulch, Okriec, Site112, 1.0
Sal17, Onival, Site047, 1.0
Enobbe, Elappo, Site159, 1.0
Chalci, Obridg, Site048, 1.0
Apusil, Hplicl, Site353, 1.0
Celong, Hacuti, Site053, 1.0
Anigro, Ovaria, Site004, 1.0
Chalci, Omacul, Site034, 1.0
Llugen, Obridg, Site120, 1.0
Sal25, Eaurit, Site164, 1.0
Dstram, Heryth, Site366, 1.0
Svesic, Ospset, Site144, 1.0
Hruber, Obridg, Site193, 1.0
Celong, Hplicg, Site043, 1.0
Etorym, Oglabr, Site143, 1.0
Peuura, Edaphn, Site106, 1.0
Hruber, Ohelve, Site034, 1.0
Sal10, Ovesic, Site111, 1.0
Sal18, Evenus, Site056, 1.0
Ssubar, Hnudip, Site217, 1.0
Sal10, Oviril, Site292, 1.0
Sal25, Halien, Site303, 1.0
Eacicu, Olappo, Site015, 1.0
Adelog, Halien, Site116, 1.0
Eacicu, Oarcti, Site238, 1.0
Ichnin, Hplicl, Site356, 1.0
Ccruxx, Ovesic, Site036, 1.0
Svesic, Oproxi, Site040, 1.0
Sal10, Ovimin, Site062, 1.0
Chalci, Elappo, Site078, 1.0
Sal10, Hpolit, Site260, 1.0
Pponta, Oglabr, Site052, 1.0
Sal30, Omyrti, Site144, 1.0
Chalci, Ehasta, Site160, 1.0
Eacicu, Ovimin, Site319, 1.0
Celong, Hleuca, Site325, 1.0
Sal9, Egemmc, Site169, 1.0
Chalci, Hspira, Site363, 1.0
Epygma, Oarcti, Site049, 1.0
Chalci, Oretus, Site227, 1.0
Sal12, Hoblit, Site265, 1.0
Sal52, Hoblit, Site294, 1.0
Svesic, Eweiff, Site150, 1.0
Ilappo, Ovaria, Site075, 1.0
Eacicu, Oproxi, Site117, 1.0
Chalci, Ohasta, Site051, 1.0
Sal7, Egemmh, Site005, 1.0
Ichnin, Ehasta, Site027, 1.0
Sal19, Ovaria, Site020, 1.0
Ccruxx, Opedun, Site060, 1.0
Sal3, Onigri, Site002, 1.0
Sal10, Hpolit, Site121, 1.0
Svesic, Ovesic, Site103, 1.0
Enobbe, Edaphn, Site188, 1.0
Sal9, Hleuca, Site259, 1.0
Bracin, Ovimin, Site036, 1.0
Cdorsa, Halien, Site282, 1.0
Sal2, Hspira, Site344, 1.0
Epygma, Odolic, Site077, 1.0
Chalci, Osamol, Site050, 1.0
Ichnin, Oretic, Site195, 1.0
Chalci, Ohasta, Site053, 1.0
Slappo, Obridg, Site148, 1.0
Ireuni, Hpurpu, Site291, 1.0
Sal9, Hleuca, Site092, 1.0
Apusil, Heryth, Site366, 1.0
Pponta, Onival, Site046, 1.0
Eacicu, Ohasta, Site042, 1.0
Chalci, Oproxi, Site249, 1.0
Pdolic, Eelaea, Site022, 1.0
Eacicu, Ovaria, Site024, 1.0
Slappo, Obridg, Site219, 1.0
Celong, Hleuco, Site333, 1.0
Aminim, Obridg, Site041, 1.0
Polybl, Hangli, Site186, 1.0
Etoxon, Obridg, Site006, 1.0
Pdolic, Opedun, Site130, 1.0
Eacicu, Ovimin, Site002, 1.0
Celong, Hplicg, Site053, 1.0
Celong, Htuber, Site071, 1.0
