Pclavi, Amorri
Sal45, Sal47
Hangli, Sal31
Dwestw, Cnrsub
Ppecti, Salpin
Pterom, Psoemi
Efront, Ctenoc
Sal6, Oadaph
Eangus, Apante
Sal13, Ocolla
Salcal, Psoemi
Salpin, Ppecti
Sal27, Oglabr
Hslana, Sal42
Sal26, Otrian
Oherba, Sal28
Sal7, Omacul
Sal9, Hleuca
Onorve, Sal29
Psoemi, Pterom
Esmyrt, Sal30
Amorri, Tspsix
Hsglab, Sal32
Psauli, Mspone
Sal45, Sal46
Omacul, Sal7
Tsptwo, Tspthr
Sal47, Sal45
Ohasta, Sal5
Otrian, Sal26
Rbrach, Ctenoc
Tspsix, Pclavi
Opolar, Sal50
Sal31, Hangli
Salpin, Lalpio
Lalpio, Salpin
Sal42, Hslana
Rbrach, Efront
Cnrsub, Dwestw
Sal23, Oretic
Emyrti, Sal30
Sal44, Sal41
Esmyrt, Emyrti
Espone, Dlongi
Mspone, Tspfou
Dlongi, Espone
Efront, Rbrach
Sal52, Ecalca
Sal7, Egemmh
Sal30, Esmyrt
Sal41, Sal44
Eelaea, Sal1
Ctenoc, Rbrach
Sal47, Sal46
Sal15, Omyrsi
Ecalca, Sal52
Mspone, Psauli
Oaacut, Sal48
Hpruss, Sal9
Sal48, Oaacut
Tspfou, Mspone
Omyrsi, Sal15
Hcarin, Sal21
Ctenoc, Efront
Salcal, Pterom
Oretic, Sal23
Sal24, Oretus
Sal9, Hpruss
Sal29, Onorve
Oglabr, Sal27
Oretus, Sal24
Lalpio, Ppecti
Sal5, Ohasta
Pclavi, Tspsix
Sal1, Eelaea
Apante, Eangus
Egemmh, Sal7
Psauli, Tspfou
Oadaph, Sal6
Sal50, Opolar
Tspsix, Amorri
Obrevi, Sal22
Emyrti, Esmyrt
Sal22, Obrevi
Ppecti, Lalpio
Tspthr, Tsptwo
Hleuca, Sal9
Sal30, Emyrti
Pterom, Salcal
Psoemi, Salcal
Sal21, Hcarin
Tspfou, Psauli
Sal28, Oherba
Ocolla, Sal13
Sal46, Sal45
Amorri, Pclavi
Sal32, Hsglab
Sal46, Sal47
